Variable,vName,vclass,vtype,vDiscription
1,Exp,,,Exp
2,Year,plot,plot,Year
3,Month,plot,,Month
4,Plot,plot,plot,Plot number
5,SpAdd,trt,trt,Number of species added
6,C3,trt,photo,"Presence of C3 treatment species (1=Present, 0=Not present)"
7,C4,trt,photo,"Presence of C4 treatment species (1=Present, 0=Not present)"
8,Forb,trt,type,"Presence of forb treatment species (1=Present, 0=Not present)"
9,Leg,trt,type,"Presence of legume treatment species (1=Present, 0=Not present)"
10,TrtAchmi,trt,trtspp,"Presence of Achillea millefolium (1=Planted, 0=Not planted)"
11,TrtAgrsm,trt,trtspp,"Presence of Agropyron smithii (1=Planted, 0=Not planted)"
12,TrtAndge,trt,trtspp,"Presence of Andropogon gerardi (1=Planted, 0=Not planted)"
13,TrtAnecy,trt,trtspp,"Presence of Anemone cylindrica (1=Planted, 0=Not planted)"
14,TrtAsctu,trt,trtspp,"Presence of Asclepias tuberosa (1=Planted, 0=Not planted)"
15,TrtAstaz,trt,trtspp,"Presence of Aster azureus (1=Planted, 0=Not planted)"
16,TrtAstca,trt,trtspp,"Presence of Astragalus canadensis (1=Planted, 0=Not planted)"
17,TrtBougr,trt,trtspp,"Presence of Bouteloua gracilis (1=Planted, 0=Not planted)"
18,TrtBucda,trt,trtspp,"Presence of Buchloe dactyloides (1=Planted, 0=Not planted)"
19,TrtCorpa,trt,trtspp,"Presence of Coreopsis palmata (1=Planted, 0=Not planted)"
20,TrtElyca,trt,trtspp,"Presence of Elymus canadensis (1=Planted, 0=Not planted)"
21,TrtEupco,trt,trtspp,"Presence of Euphorbia corollata (1=Planted, 0=Not planted)"
22,TrtKoecr,trt,trtspp,"Presence of Koeleria cristata (1=Planted, 0=Not planted)"
23,TrtLesca,trt,trtspp,"Presence of Lespedeza capitata (1=Planted, 0=Not planted)"
24,TrtLiaas,trt,trtspp,"Presence of Liatris aspera (1=Planted, 0=Not planted)"
25,TrtPanvi,trt,trtspp,"Presence of Panicum virgatum (1=Planted, 0=Not planted)"
26,TrtPetpu,trt,trtspp,"Presence of Petalostemum purpureum (1=Planted, 0=Not planted)"
27,TrtPoapr,trt,trtspp,"Presence of Poa pratensis (1=Planted, 0=Not planted)"
28,TrtRudse,trt,trtspp,"Presence of Rudbeckia serotina (1=Planted, 0=Not planted)"
29,TrtSchsc,trt,trtspp,"Presence of Schizachyrium scoparium (1=Planted, 0=Not planted)"
30,TrtSolne,trt,trtspp,"Presence of Solidago nemoralis (1=Planted, 0=Not planted)"
31,TrtSornu,trt,trtspp,"Presence of Sorghastrum nutans (1=Planted, 0=Not planted)"
32,TrtSpocr,trt,trtspp,"Presence of Sporobolus cryptandrus (1=Planted, 0=Not planted)"
33,TrtVicvi,trt,trtspp,"Presence of Vicia villosa (1=Planted, 0=Not planted)"
34,PCSoil94,phys,soil,Percent soil carbon in 1994
35,PNSoil94,phys,soil,Percent soil nitrogen in 1994
36,TotBio,phys,BM,Aboveground living biomass (g/m2) plus root biomass (g/m2)
37,AbvBio,phys,BM,Living aboveground biomass (g/m2)
38,RootBioG,phys,BM,Root biomass (g)
39,RootBio,phys,BM,Root biomass (g/m2) 0-30cm
40,TotPCov,phys,PC,Mean Total absolute % cover of living vascular plants
41,SR,phys,,Species richness based on absolute % cover
42,EtoH,plant,,e to h based on absolute % cover
43,H2O0_20,phys,soil,Soil moisture (%) 0-20cm
44,H2O40_60,phys,soil,Soil moisture (%) 40-60cm
